Mes,IGAE
1993/02,1.487587
1993/03,-0.384796
1993/04,0.135739
1993/05,0.977134
1993/06,-0.745754
1993/07,1.032222
1993/08,-0.274793
1993/09,-0.343812
1993/10,0.088277
1993/11,-0.342557
1993/12,1.961337
1994/01,0.753582
1994/02,0.058733
1994/03,0.943821
1994/04,1.404392
1994/05,-0.143221
1994/06,0.753538
1994/07,-0.890806
1994/08,0.731846
1994/09,0.513335
1994/10,0.492927
1994/11,-0.411503
1994/12,-0.694946
1995/01,-0.248310
1995/02,-6.008229
1995/03,-0.920828
1995/04,-0.995987
1995/05,-1.893073
1995/06,1.505725
1995/07,0.430649
1995/08,0.857000
1995/09,0.762104
1995/10,-3.000458
1995/11,3.244064
1995/12,3.906556
1996/01,0.687648
1996/02,-0.811187
1996/03,0.197293
1996/04,0.494022
1996/05,0.383397
1996/06,1.224855
1996/07,0.314922
1996/08,-0.023682
1996/09,0.870789
1996/10,0.570835
1996/11,0.942012
1996/12,0.909560
1997/01,-0.061126
1997/02,0.063840
1997/03,0.432574
1997/04,1.271102
1997/05,0.694868
1997/06,1.055903
1997/07,-0.285482
1997/08,1.090587
1997/09,0.444381
1997/10,1.283943
1997/11,0.331384
1997/12,-0.275449
1998/01,0.520694
1998/02,1.161899
1998/03,0.985602
1998/04,-0.074888
1998/05,-0.155673
1998/06,-0.754425
1998/07,1.042539
1998/08,0.175814
1998/09,-0.478652
1998/10,-0.307031
1998/11,0.471298
1998/12,0.474151
1999/01,1.027241
1999/02,-0.245883
1999/03,0.852093
1999/04,-0.885314
1999/05,1.019060
1999/06,-0.696302
1999/07,1.188474
1999/08,-0.420288
1999/09,0.722300
1999/10,0.046339
1999/11,0.359892
1999/12,0.597775
2000/01,2.649185
2000/02,-0.558433
2000/03,-0.253658
2000/04,0.898737
2000/05,0.595819
2000/06,0.553429
2000/07,0.129619
2000/08,0.128544
2000/09,0.164876
2000/10,-0.189935
2000/11,-0.309841
2000/12,-0.558441
2001/01,-0.026321
2001/02,-0.279865
2001/03,-0.006148
2001/04,-0.227778
2001/05,-0.238776
2001/06,0.439560
2001/07,0.114220
2001/08,0.428129
2001/09,-0.289439
2001/10,-1.125907
2001/11,0.734069
2001/12,-0.106763
2002/01,-1.764739
2002/02,0.691284
2002/03,0.509105
2002/04,0.511030
2002/05,0.262651
2002/06,-0.261185
2002/07,0.364162
2002/08,0.673798
2002/09,-0.195259
2002/10,0.456014
2002/11,-0.758596
2002/12,0.339677
2003/01,0.102227
2003/02,0.858411
2003/03,-0.669486
2003/04,0.070362
2003/05,-0.286829
2003/06,0.671837
2003/07,0.130322
2003/08,-0.819712
2003/09,0.321639
2003/10,0.322588
2003/11,0.475160
2003/12,1.019683
