Var,Serie,Nivel,Grupo,Descripción,COD_BIE,COD_VAR
IGAE,TOTAL,1,NA,Total Actividad Económica Serie desestacionalizada,496216,IGAE_TOTAL
IGAE,GA1,2,TOTAL,Total Actividades Primarias Serie desestacionalizada,496223,IGAE_GA1
IGAE,GA2,2,TOTAL,Total Actividades Secundarias Serie desestacionalizada,496230,IGAE_GA2
IGAE,S21,3,GA2,Total Mineria Serie desestacionalizada,496237,IGAE_S21
IGAE,S22,3,GA2,Total Energeticos Serie desestacionalizada,496244,IGAE_S22
IGAE,S23,3,GA2,Total Construccion Serie desestacionalizada,496251,IGAE_S23
IGAE,S31-33,3,GA2,Total Industrias Manuf Serie desestacionalizada,496258,IGAE_S31-33
IGAE,GA3,2,TOTAL,Total Actividades Terciarias  Serie desestacionalizada,496265,IGAE_GA3
IGAE,S43,3,GA3,Total Comercio por mayor Serie desestacionalizada,496272,IGAE_S43
IGAE,S46,3,GA3,Total Comercio por menor Serie desestacionalizada,515886,IGAE_S46
IGAE,S48-49-51,3,GA3,"Total Transportes, correos, alm  Serie desestacionalizada",496279,IGAE_S48-49-51
IGAE,S52-53,3,GA3,Total Serv Fin Serie desestacionalizada,496286,IGAE_S52-53
IGAE,S54-55,3,GA3,Total Serv Prof Serie desestacionalizada,496293,IGAE_S54-55
IGAE,S61-62,3,GA3,Total Serv Educ Serie desestacionalizada,496300,IGAE_S61-62
IGAE,S71-81,3,GA3,Total Serv Esparc Serie desestacionalizada,496307,IGAE_S71-81
IGAE,S72,3,GA3,Total Serv Aloj Serie desestacionalizada,496314,IGAE_S72
IGAE,S93,3,GA3,Total Serv Gob Serie desestacionalizada,496321,IGAE_S93
SIC,IC,1,NA,Indicador Coincidente Componente cíclico,214293,SIC_IC
SIC,IGAE_CC,2,IC,Indicador global de la actividad economica Componente cíclico,214295,SIC_IGAE_CC
SIC,IAI_CC,2,IC,Indice de Actividad Industrial Componente cíclico,214297,SIC_IAI_CC
SIC,ING_BYS_MENUD_CC,2,IC,Indice de ingresos por suministro de bienes y servicios al por menor Componente cíclico,214299,SIC_ING_BYS_MENUD_CC
SIC,IMSS_CC,2,IC,Asegurados trabajadores permanentes IMSS Componente cíclico,214301,SIC_IMSS_CC
SIC,TDU_CC,2,IC,Tasa de desocupación urbana Componente cíclico,214303,SIC_TDU_CC
SIC,IMP_CC,2,IC,Importaciones totales Componente cíclico,214305,SIC_IMP_CC
SIC,IA,1,NA,Indicador Adelantado Componente cíclico,214307,SIC_IA
SIC,EMP_MANUF_CC,2,IA,Tendencia del empleo en las manufacturas Componente cíclico,214309,SIC_EMP_MANUF_CC
SIC,ICC_CC,2,IA,Indicador de confianza empresarial Componente cíclico,214311,SIC_ICC_CC
SIC,IPC_CC,2,IA,Indice de precios y cotizaciones BMV Componente cíclico,214313,SIC_IPC_CC
SIC,TCR_CC,2,IA,Tipo de cambio real bilateral MX-EEUU Componente cíclico,214315,SIC_TCR_CC
SIC,TIIE_CC,2,IA,Tasa de interés interbancaria de equilibrio Componente cíclico,214317,SIC_TIIE_CC
SIC,SP_CC,2,IA,Indice S&P 500 Componente cíclico,214319,SIC_SP_CC
SICCA,COIN,1,NA,Indicador coincidente indice desestacionalizado,436139,SICCA_COIN
SICCA,AD,1,NA,Indicador adelantado indice desestacionalizado,436141,SICCA_AD
CONSUMO,TOTAL,1,NA,Indicador mensual del consumo privado en el mercdo interior serie desestacionalizada,497635,CONSUMO_TOTAL
CONSUMO,BYS_NAL,2,TOTAL,Bienes y Servicios de origen nacional serie desestacionalizada,497642,CONSUMO_BYS_NAL
CONSUMO,BIENES,3,BYS_NAL,Bienes de origen nacional serie desestacionalizada,497649,CONSUMO_BIENES
